Easting,Northing,CarParkID,Name,Type,Spaces,Area,Payment
359494.724,172279.795,87,Temple Gate,MSCP,3,Central Area,BCC,Bristol City Council,559,24hrs 7 day a week,B,Pay and Display,Yes,359504.942,172277.651,,0,, ,,
359130.74,173184.720000001,88,The Galleries,MSCP,1,Broadmead,Nor Un,Norwich Union,920,24hrs 7 day a week,C,Pay on Foot,Yes,359128.089,173187.382,,521,,increasing,,
358370.712,172426.77,89,Millennium Square,U/ground,6,Docks Estate Area,@Bristol,@Bristol,521,24hrs 7 day a week,C,Pay on Foot,Yes,358453.131,172432.703,,0,, ,,
358874.735,172838.886,90,Queen Charlotte NCP,MSCP,3,Central Area,NCP,National Car Parks Ltd,421,24hrs 7 day a week,C,Pay on Foot,Yes,358886.539,172843.982,,0,, ,,
356965.087,172225.482999999,91,McCadam Way,Surface,4,District Car Parks,BCC,Bristol City Council,19,24hrs 7 day a week,A,Pay and Display,No,356972.001,172221.821,,0,, ,,
357044.858,172237.488,92,"Brunel Lock, Hotwells",Surface,4,District Car Parks,BCC,Bristol City Council,33,24hrs 7 day a week,K,Pay and Display,No,357052.169,172236.387,,0,, ,,
358923.743,173191.062000001,93,Nelson Street NCP,MSCP,1,Broadmead,NCP,National Car Parks Ltd,287,24hrs 7 day a week,C,Pay on Foot,Yes,358933.62,173197.304,,0,, ,,
356939.779,172422.641000001,94,"Oldfield Place, Hotwells",Surface,4,District Car Parks,BCC,Bristol City Council,25,24hrs 7 day a week,A,Pay and Display,No,356950.616,172417.409,,0,, ,,
359646.729,172461.866,95,Temple Meads,Surface,3,Central Area,Net Rail,Network Rail,500,24hrs 7 day a week,B,Pay and Display,Yes,359658.605,172483.198,,0,, ,,
357068.324,172510.801999999,96,"Charles Place, Hotwells",Surface,4,District Car Parks,BCC,Bristol City Council,9,24hrs 7 day a week,A,Pay and Display,No,357066.999,172509.81,,0,, ,,
357526.876,172452.513,97,Mardyke Wharf,Surface,4,District Car Parks,BCC,Bristol City Council,17,24hrs 7 day a week,A,Pay and Display,No,357520.307,172447.913,,0,, ,,
358775.865,172112.483999999,98,Lower Guinea Street,Surface,4,District Car Parks,BCC,Bristol City Council,24,24hrs 7 day a week,A,Pay and Display,No,358791.754,172111.499,,0,, ,,
358306,171409,99,"Diamond Street, Bedminster",Surface,5,Bedminster,BCC,Bristol City Council,39,24hrs 7 day a week,A,Pay and Display,No,358303.822,171415.076,,0,, ,,
358620.732,172575.776000001,100,Prince Street NCP,MSCP,3,Central Area,NCP,National Car Parks Ltd,275,24hrs 7 day a week,C,Pay on Foot,Yes,358617.149,172586.628,,0,, ,,
359173.746,173573.861,101,St James Barton NCP,MSCP,1,Broadmead,NCP,National Car Parks Ltd,314,0700-2100 Mon-Sat,C,Pay on Foot,Yes,359163.538,173606.283,,0,, ,,
358425.732,173053.054,102,Trenchard Street,MSCP,3,Central Area,BCC,Bristol City Council,970,24hrs 7 day a week,B,Pay on Foot,Yes,358419.418,173059.996,,0,, ,,
358539.294,171496.015000001,103,"Little Paradise, Bedminster",Surface,5,Bedminster,BCC,Bristol City Council,47,24hrs 7 day a week,A,Pay and Display,No,358539.578,171492.738,,0,, ,,
358651.077,171412.173,104,"Hereford Street, Bedminster",Surface,5,Bedminster,BCC,Bristol City Council,53,24hrs 7 day a week,A,Pay and Display,No,358651.077,171412.173,,0,, ,,
358803.733,173301.077,105,Rupert Street NCP,MSCP,1,Broadmead,NCP,National Car Parks Ltd,498,24hrs 7 day a week,C,Pay on Foot,Yes,358812.819,173317.496,,0,, ,,
358396.053,171324.314999999,106,"Sheene Road, Bedminster",Surface,5,Bedminster,BCC,Bristol City Council,38,24hrs 7 day a week,A,Pay and Display,No,358401.955,171317.84,,0,, ,,
357757.692,173155.655999999,107,West End,MSCP,2,Westend,BCC,Bristol City Council,813,24hrs 7 day a week,B,Pay on Foot,Yes,357748.736,173142.349,,0,, ,,
